Rk,player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Salary
-,Castillo/Curtiss/Anderson (combined),27,RP,2.8,8,1,.889,1.43,58,3,21,0,0,12,63.0,38,13,10,7,17,0,74,3,0,0,246,290,3.24,0.873,5.4,1.0,2.4,10.6,4.35,0.635

3,Liam Hendriks,31,CL,1.4,3,1,.750,1.78,24,0,20,0,0,14,25.1,14,6,5,1,3,1,37,0,0,0,92,238,1.14,0.671,5.0,0.4,1.1,13.1,12.33,1.961
