"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Velazquez, Andrew","623205","Orioles","2020","SS","1",1,1,1,-2,0,0,1,"83%","82%","1%"
"Verdugo, Alex","657077","Red Sox","2020","RF","2",2,1,1,0,0,2,0,"93%","91%","2%"
"Villar, Jonathan","542340","---","2020","2B","-9",-11,-3,0,-8,0,-6,-5,"69%","76%","-7%"
"Voit, Luke","572228","Yankees","2020","1B","-3",-3,0,-1,-3,0,-1,-2,"70%","73%","-3%"
"Votto, Joey","458015","Reds","2020","1B","-4",-5,-2,-1,-1,-1,-1,-4,"71%","75%","-4%"
"Wade, Tyler","642180","Yankees","2020","2B","4",5,1,4,1,0,2,4,"81%","76%","5%"
"Walker, Christian","572233","D-backs","2020","1B","0",0,1,-1,0,0,1,-1,"74%","74%","0%"
"Wendle, Joey","621563","Rays","2020","3B","2",2,1,2,0,0,3,0,"76%","75%","1%"
"White, Evan","657108","Mariners","2020","1B","4",5,0,3,1,0,2,3,"78%","73%","5%"
"Wong, Kolten","543939","Cardinals","2020","2B","0",0,-1,2,-2,1,1,-1,"79%","79%","0%"
"Yastrzemski, Mike","573262","Giants","2020","RF","-4",-5,0,-1,-2,-1,-1,-4,"86%","89%","-3%"
"Yelich, Christian","592885","Brewers","2020","LF","-2",-2,-1,-2,-1,1,-2,-1,"88%","91%","-3%"
